<eObjectEntry  timestamp='1390495984028' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390495985992' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496069664' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496070316' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496207492' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496208160' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496234420' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496236452' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496366620' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496368313' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496453748' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496453754' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496453757' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496453762' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390496453765' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390496503903' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496505436' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496536807' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496537500' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496741923' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496743613' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496785573' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390496786989' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390496991339' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390497022408' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390497023823' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390497072157' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390497073771' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390497097632' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPush'/>
<eObjectEntry  timestamp='1390497099133' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390497112546' resUri='platform:/resource/TDT4100/src/stateandbehaviour/StackTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPop'/>
